######## Chromosome chr1 #########

gene 1/5050 for chr1:	DDX11L1
gene 642/5050 for chr1:	MIR1256
gene 643/5050 for chr1:	RPS15AP6
gene 644/5050 for chr1:	RP11-487E1.2
gene 645/5050 for chr1:	HSPE1P27
gene 646/5050 for chr1:	ECE1
gene 647/5050 for chr1:	RP3-329E20.2
gene 648/5050 for chr1:	RP5-1071N3.1
gene 649/5050 for chr1:	PPP1R11P1
gene 650/5050 for chr1:	RP11-293F5.8
gene 651/5050 for chr1:	RP11-293F5.1
gene 652/5050 for chr1:	NBPF2P
gene 653/5050 for chr1:	HS6ST1P1
gene 654/5050 for chr1:	CROCCP5
gene 655/5050 for chr1:	NBPF3
gene 656/5050 for chr1:	PFN1P10
gene 657/5050 for chr1:	ALPL
gene 658/5050 for chr1:	RP11-63N8.3
gene 659/5050 for chr1:	RAP1GAP
gene 660/5050 for chr1:	USP48
gene 661/5050 for chr1:	RP11-132G19.3
gene 662/5050 for chr1:	LDLRAD2
gene 663/5050 for chr1:	HSPG2
gene 664/5050 for chr1:	RP11-26H16.1
gene 665/5050 for chr1:	RP11-26H16.4
gene 666/5050 for chr1:	CELA3B
gene 667/5050 for chr1:	RN7SL386P
gene 668/5050 for chr1:	RNU6-1022P
gene 669/5050 for chr1:	CELA3A
gene 670/5050 for chr1:	RN7SL186P
gene 671/5050 for chr1:	RNU6-776P
gene 672/5050 for chr1:	RP1-224A6.3
gene 673/5050 for chr1:	LINC00339
gene 674/5050 for chr1:	CDC42
gene 675/5050 for chr1:	CDC42-IT1
gene 676/5050 for chr1:	RP1-224A6.8
gene 677/5050 for chr1:	RP1-224A6.9
gene 678/5050 for chr1:	WNT4
gene 679/5050 for chr1:	MIR4418
gene 680/5050 for chr1:	RP11-415K20.1
gene 681/5050 for chr1:	RP11-415K20.2
gene 682/5050 for chr1:	ZBTB40
gene 683/5050 for chr1:	ZBTB40-IT1
gene 684/5050 for chr1:	EPHA8
gene 685/5050 for chr1:	MIR6127
gene 686/5050 for chr1:	C1QA
gene 687/5050 for chr1:	C1QC
gene 688/5050 for chr1:	C1QB
gene 689/5050 for chr1:	EPHB2
gene 690/5050 for chr1:	MIR4684
gene 691/5050 for chr1:	RP11-69E9.1
gene 692/5050 for chr1:	MIR4253
gene 693/5050 for chr1:	LACTBL1
gene 694/5050 for chr1:	C1orf234
gene 695/5050 for chr1:	KDM1A
gene 696/5050 for chr1:	RP1-184J9.2
gene 697/5050 for chr1:	MIR3115
gene 698/5050 for chr1:	MIR4419A
gene 699/5050 for chr1:	LUZP1
gene 700/5050 for chr1:	RP5-979D14.1
gene 701/5050 for chr1:	RNU6-514P
gene 702/5050 for chr1:	RNU6-135P
gene 703/5050 for chr1:	HTR1D
gene 704/5050 for chr1:	RP5-1057J7.1
gene 705/5050 for chr1:	LINC01355
gene 706/5050 for chr1:	HNRNPR
gene 707/5050 for chr1:	ZNF436
gene 708/5050 for chr1:	ZNF436-AS1
gene 709/5050 for chr1:	RP5-1057J7.7
gene 710/5050 for chr1:	TCEA3
gene 711/5050 for chr1:	RP4-654C18.1
gene 712/5050 for chr1:	ASAP3
gene 713/5050 for chr1:	E2F2
gene 714/5050 for chr1:	RP1-150O5.3
gene 715/5050 for chr1:	ID3
gene 716/5050 for chr1:	MDS2
gene 717/5050 for chr1:	RP11-223J15.2
gene 718/5050 for chr1:	RPL11
gene 719/5050 for chr1:	TCEB3
gene 720/5050 for chr1:	TCEB3-AS1
gene 721/5050 for chr1:	PITHD1
gene 722/5050 for chr1:	LYPLA2
gene 723/5050 for chr1:	GALE
gene 724/5050 for chr1:	HMGCL
gene 725/5050 for chr1:	FUCA1
gene 726/5050 for chr1:	CNR2
gene 727/5050 for chr1:	BTBD6P1
gene 728/5050 for chr1:	RP11-4M23.3
gene 729/5050 for chr1:	MIR378F
gene 730/5050 for chr1:	RP11-4M23.4
gene 731/5050 for chr1:	PNRC2
gene 732/5050 for chr1:	SRSF10
gene 733/5050 for chr1:	RP11-4M23.7
gene 734/5050 for chr1:	RP11-293P20.2
gene 735/5050 for chr1:	MYOM3
gene 736/5050 for chr1:	RP11-293P20.4
gene 737/5050 for chr1:	IL22RA1
gene 738/5050 for chr1:	IFNLR1
gene 739/5050 for chr1:	RP11-10N16.2
gene 740/5050 for chr1:	RP11-10N16.3
gene 741/5050 for chr1:	GRHL3
gene 742/5050 for chr1:	STPG1
gene 743/5050 for chr1:	NIPAL3
gene 744/5050 for chr1:	RCAN3
gene 745/5050 for chr1:	RP4-594I10.3
gene 746/5050 for chr1:	NCMAP
gene 747/5050 for chr1:	RP11-496D1.2
gene 748/5050 for chr1:	SRRM1
gene 749/5050 for chr1:	CLIC4
gene 750/5050 for chr1:	RNU6-1208P
gene 751/5050 for chr1:	RUNX3
gene 752/5050 for chr1:	MIR6731
gene 753/5050 for chr1:	RP11-84D1.1
gene 754/5050 for chr1:	RP11-84D1.2
gene 755/5050 for chr1:	MIR4425
gene 756/5050 for chr1:	RP4-799D16.1
gene 757/5050 for chr1:	RP4-781L3.1
gene 758/5050 for chr1:	RP4-706G24.1
gene 759/5050 for chr1:	SYF2
gene 760/5050 for chr1:	RSRP1
gene 761/5050 for chr1:	RP3-465N24.6
gene 762/5050 for chr1:	RP3-465N24.5
gene 763/5050 for chr1:	RHD
gene 764/5050 for chr1:	SDHDP6
gene 765/5050 for chr1:	RP11-335G20.7
gene 766/5050 for chr1:	TMEM50A
gene 767/5050 for chr1:	RHCE
gene 768/5050 for chr1:	RP3-469D22.1
gene 769/5050 for chr1:	TMEM57
gene 770/5050 for chr1:	LDLRAP1
gene 771/5050 for chr1:	RP11-70P17.1
gene 772/5050 for chr1:	MAN1C1
gene 773/5050 for chr1:	RP1-187B23.1
gene 774/5050 for chr1:	SEPN1
gene 775/5050 for chr1:	RP1-317E23.6
gene 776/5050 for chr1:	RP1-317E23.3
gene 777/5050 for chr1:	MTFR1L
gene 778/5050 for chr1:	AUNIP
gene 779/5050 for chr1:	RP1-317E23.7
gene 780/5050 for chr1:	RP1-125I3.2
gene 781/5050 for chr1:	PAQR7
gene 782/5050 for chr1:	STMN1
gene 783/5050 for chr1:	SNRPFP2
gene 784/5050 for chr1:	RP1-125I3.4
gene 785/5050 for chr1:	PAFAH2
gene 786/5050 for chr1:	RNU6-110P
gene 787/5050 for chr1:	SCARNA17
gene 788/5050 for chr1:	SCARNA18
gene 789/5050 for chr1:	EXTL1
gene 790/5050 for chr1:	SLC30A2
gene 791/5050 for chr1:	TRIM63
gene 792/5050 for chr1:	PDIK1L
gene 793/5050 for chr1:	FAM110D
gene 794/5050 for chr1:	RP11-96L14.8
gene 795/5050 for chr1:	RP11-96L14.7
gene 796/5050 for chr1:	ZNF593
gene 797/5050 for chr1:	CNKSR1
gene 798/5050 for chr1:	CATSPER4
gene 799/5050 for chr1:	RP11-231P20.2
gene 800/5050 for chr1:	RP11-231P20.6
gene 801/5050 for chr1:	CEP85
gene 802/5050 for chr1:	RP11-231P20.5
gene 803/5050 for chr1:	SH3BGRL3
gene 804/5050 for chr1:	UBXN11
gene 805/5050 for chr1:	CD52
gene 806/5050 for chr1:	AIM1L
gene 807/5050 for chr1:	RP11-569G9.7
gene 808/5050 for chr1:	ZNF683
gene 809/5050 for chr1:	LIN28A
gene 810/5050 for chr1:	DHDDS
gene 811/5050 for chr1:	RP3-476K8.4
gene 812/5050 for chr1:	RP3-476K8.3
gene 813/5050 for chr1:	HMGN2
gene 814/5050 for chr1:	DPPA2P2
gene 815/5050 for chr1:	RPS6KA1
gene 816/5050 for chr1:	MIR1976
gene 817/5050 for chr1:	RN7SL679P
gene 818/5050 for chr1:	RNU7-29P
gene 819/5050 for chr1:	RP11-492M19.3
gene 820/5050 for chr1:	snoU13
gene 821/5050 for chr1:	RP4-785J1.1
gene 822/5050 for chr1:	RP5-968P14.2
gene 823/5050 for chr1:	ARID1A
gene 824/5050 for chr1:	PIGV
gene 825/5050 for chr1:	RN7SL165P
gene 826/5050 for chr1:	ZDHHC18
gene 827/5050 for chr1:	SFN
gene 828/5050 for chr1:	GPN2
gene 829/5050 for chr1:	RP1-50O24.6
gene 830/5050 for chr1:	GPATCH3
gene 831/5050 for chr1:	NUDC
gene 832/5050 for chr1:	NR0B2
gene 833/5050 for chr1:	KDF1
gene 834/5050 for chr1:	RPL12P13
gene 835/5050 for chr1:	RP11-344H11.5
gene 836/5050 for chr1:	OSTCP2
gene 837/5050 for chr1:	TRNP1
gene 838/5050 for chr1:	FAM46B
gene 839/5050 for chr1:	AL137860.1
gene 840/5050 for chr1:	SLC9A1
gene 841/5050 for chr1:	RP11-40H20.5
gene 842/5050 for chr1:	CHCHD3P3
gene 843/5050 for chr1:	NPM1P39
gene 844/5050 for chr1:	SNRPEP7
gene 845/5050 for chr1:	RP11-40H20.4
gene 846/5050 for chr1:	WDTC1
gene 847/5050 for chr1:	RP11-4K3__A.3
gene 848/5050 for chr1:	TMEM222
gene 849/5050 for chr1:	RNU6-48P
gene 850/5050 for chr1:	ACTG1P20
gene 851/5050 for chr1:	SYTL1
gene 852/5050 for chr1:	MAP3K6
gene 853/5050 for chr1:	FCN3
gene 854/5050 for chr1:	CD164L2
gene 855/5050 for chr1:	RP1-144C9.2
gene 856/5050 for chr1:	GPR3
gene 857/5050 for chr1:	WASF2
gene 858/5050 for chr1:	RP4-752I6.1
gene 859/5050 for chr1:	RP1-159A19.4
gene 860/5050 for chr1:	AHDC1
gene 861/5050 for chr1:	FGR
gene 862/5050 for chr1:	RP1-159A19.3
gene 863/5050 for chr1:	RP11-288L9.1
gene 864/5050 for chr1:	IFI6
gene 865/5050 for chr1:	RP11-288L9.4
gene 866/5050 for chr1:	RNU6-949P
gene 867/5050 for chr1:	CHMP1AP1
gene 868/5050 for chr1:	RNU6-424P
gene 869/5050 for chr1:	FAM76A
gene 870/5050 for chr1:	RP3-426I6.2
gene 871/5050 for chr1:	RPEP3
gene 872/5050 for chr1:	STX12
gene 873/5050 for chr1:	RP3-426I6.5
gene 874/5050 for chr1:	RP3-426I6.6
gene 875/5050 for chr1:	RNU6-1245P
gene 876/5050 for chr1:	PPP1R8
gene 877/5050 for chr1:	SCARNA1
gene 878/5050 for chr1:	AL109927.1
gene 879/5050 for chr1:	THEMIS2
gene 880/5050 for chr1:	RPA2
gene 881/5050 for chr1:	SMPDL3B
gene 882/5050 for chr1:	RP11-460I13.2
gene 883/5050 for chr1:	XKR8
gene 884/5050 for chr1:	EYA3
gene 885/5050 for chr1:	RP11-460I13.6
gene 886/5050 for chr1:	RN7SL559P
gene 887/5050 for chr1:	SPCS2P4
gene 888/5050 for chr1:	RP5-1053E7.2
gene 889/5050 for chr1:	RP5-1053E7.3
gene 890/5050 for chr1:	RNU6-176P
gene 891/5050 for chr1:	PTAFR
gene 892/5050 for chr1:	DNAJC8
gene 893/5050 for chr1:	ATPIF1
gene 894/5050 for chr1:	RP5-1092A3.4
gene 895/5050 for chr1:	RP5-1092A3.5
gene 896/5050 for chr1:	SESN2
gene 897/5050 for chr1:	MED18
gene 898/5050 for chr1:	PHACTR4
gene 899/5050 for chr1:	RP1-308E4.1
gene 900/5050 for chr1:	RNU6ATAC27P
gene 901/5050 for chr1:	RCC1
gene 902/5050 for chr1:	SNHG3
gene 903/5050 for chr1:	SNORA73A
gene 904/5050 for chr1:	SNORA73B
gene 905/5050 for chr1:	PRDX3P2
gene 906/5050 for chr1:	RP4-669K10.8
gene 907/5050 for chr1:	TRNAU1AP
gene 908/5050 for chr1:	SNHG12
gene 909/5050 for chr1:	SNORD99
gene 910/5050 for chr1:	SNORA61
gene 911/5050 for chr1:	SNORA44
gene 912/5050 for chr1:	SNORA16A
gene 913/5050 for chr1:	TAF12
gene 914/5050 for chr1:	RAB42
gene 915/5050 for chr1:	RP11-442N24__B.1
gene 916/5050 for chr1:	RNU11
gene 917/5050 for chr1:	GMEB1
gene 918/5050 for chr1:	SCARNA24
gene 919/5050 for chr1:	YTHDF2
gene 920/5050 for chr1:	OPRD1
gene 921/5050 for chr1:	RP1-212P9.3
gene 922/5050 for chr1:	EPB41
gene 923/5050 for chr1:	RP4-604A21.1
gene 924/5050 for chr1:	Metazoa_SRP
gene 925/5050 for chr1:	TMEM200B
gene 926/5050 for chr1:	RP11-242O24.3
gene 927/5050 for chr1:	SRSF4
gene 928/5050 for chr1:	uc_338
gene 929/5050 for chr1:	MECR
gene 930/5050 for chr1:	RP11-467D18.2
gene 931/5050 for chr1:	PTPRU
gene 932/5050 for chr1:	RP3-437I16.1
gene 933/5050 for chr1:	RP11-810H18.1
gene 934/5050 for chr1:	RP4-656G21.1
gene 935/5050 for chr1:	RP11-179G8.1
gene 936/5050 for chr1:	RP11-111I12.1
gene 937/5050 for chr1:	RP5-893G23.1
gene 938/5050 for chr1:	RP3-357I16.1
gene 939/5050 for chr1:	RP4-591L5.1
gene 940/5050 for chr1:	RP4-591L5.2
gene 941/5050 for chr1:	MATN1
gene 942/5050 for chr1:	MATN1-AS1
gene 943/5050 for chr1:	LAPTM5
gene 944/5050 for chr1:	MIR4420
gene 945/5050 for chr1:	RP5-1125N11.1
gene 946/5050 for chr1:	RP5-1125N11.2
gene 947/5050 for chr1:	RN7SKP91
gene 948/5050 for chr1:	RP1-65J11.5
gene 949/5050 for chr1:	SDC3
gene 950/5050 for chr1:	RN7SL371P
gene 951/5050 for chr1:	PUM1
gene 952/5050 for chr1:	RP11-201O14.1
gene 953/5050 for chr1:	RP11-201O14.2
gene 954/5050 for chr1:	SEPW1P
gene 955/5050 for chr1:	RP11-490K7.1
gene 956/5050 for chr1:	NKAIN1
gene 957/5050 for chr1:	SNRNP40
gene 958/5050 for chr1:	RP11-490K7.4
gene 959/5050 for chr1:	ZCCHC17
gene 960/5050 for chr1:	RP11-266K22.2
gene 961/5050 for chr1:	FABP3
gene 962/5050 for chr1:	SERINC2
gene 963/5050 for chr1:	RP11-439L8.2
gene 964/5050 for chr1:	RNU6-40P
gene 965/5050 for chr1:	LINC01225
gene 966/5050 for chr1:	RP11-73M7.1
gene 967/5050 for chr1:	TINAGL1
gene 968/5050 for chr1:	HCRTR1
gene 969/5050 for chr1:	PEF1
gene 970/5050 for chr1:	RP11-73M7.6
gene 971/5050 for chr1:	RP11-73M7.9
gene 972/5050 for chr1:	COL16A1
gene 973/5050 for chr1:	ADGRB2
gene 974/5050 for chr1:	MIR4254
gene 975/5050 for chr1:	RP11-84A19.3
gene 976/5050 for chr1:	SPOCD1
gene 977/5050 for chr1:	RP11-84A19.2
gene 978/5050 for chr1:	RP11-84A19.4
gene 979/5050 for chr1:	PTP4A2
gene 980/5050 for chr1:	RP4-534N18.2
gene 981/5050 for chr1:	KHDRBS1
gene 982/5050 for chr1:	RP11-277A4.4
gene 983/5050 for chr1:	TMEM39B
gene 984/5050 for chr1:	MIR5585
gene 985/5050 for chr1:	KPNA6
gene 986/5050 for chr1:	RP4-622L5.2
gene 987/5050 for chr1:	TXLNA
gene 988/5050 for chr1:	CCDC28B
gene 989/5050 for chr1:	RP4-622L5.7
gene 990/5050 for chr1:	IQCC
gene 991/5050 for chr1:	DCDC2B
gene 992/5050 for chr1:	TMEM234
gene 993/5050 for chr1:	EIF3I
gene 994/5050 for chr1:	MTMR9LP
gene 995/5050 for chr1:	FAM167B
gene 996/5050 for chr1:	LCK
gene 997/5050 for chr1:	HDAC1
gene 998/5050 for chr1:	MARCKSL1
gene 999/5050 for chr1:	RP4-811H24.9
gene 1000/5050 for chr1:	TSSK3
gene 1001/5050 for chr1:	FAM229A
gene 1002/5050 for chr1:	BSDC1
gene 1003/5050 for chr1:	GAPDHP20
gene 1004/5050 for chr1:	RP11-395N6.4
gene 1005/5050 for chr1:	LRRC37A12P
gene 1006/5050 for chr1:	RN7SL122P
gene 1007/5050 for chr1:	RP1-27O5.3
gene 1008/5050 for chr1:	ZBTB8B
gene 1009/5050 for chr1:	ZBTB8A
gene 1010/5050 for chr1:	ZBTB8OS
gene 1011/5050 for chr1:	RBBP4
gene 1012/5050 for chr1:	SYNC
gene 1013/5050 for chr1:	RP11-114B7.6
gene 1014/5050 for chr1:	KIAA1522
gene 1015/5050 for chr1:	YARS
gene 1016/5050 for chr1:	S100PBP
gene 1017/5050 for chr1:	FNDC5
gene 1018/5050 for chr1:	HPCA
gene 1019/5050 for chr1:	TMEM54
gene 1020/5050 for chr1:	RNF19B
gene 1021/5050 for chr1:	RP5-1174N9.2
gene 1022/5050 for chr1:	RP4-803A2.1
gene 1023/5050 for chr1:	RP4-803A2.2
gene 1024/5050 for chr1:	RP1-117O3.2
gene 1025/5050 for chr1:	AK2
gene 1026/5050 for chr1:	AZIN2
gene 1027/5050 for chr1:	RP11-131M11.2
gene 1028/5050 for chr1:	TRIM62
gene 1029/5050 for chr1:	RP11-131M11.3
gene 1030/5050 for chr1:	ZNF362
gene 1031/5050 for chr1:	RP11-415J8.7
gene 1032/5050 for chr1:	A3GALT2
gene 1033/5050 for chr1:	RP11-415J8.3
gene 1034/5050 for chr1:	PHC2
gene 1035/5050 for chr1:	RN7SKP16
gene 1036/5050 for chr1:	RP11-415J8.5
gene 1037/5050 for chr1:	TLR12P
gene 1038/5050 for chr1:	ZSCAN20
gene 1039/5050 for chr1:	RP4-580O19.2
gene 1040/5050 for chr1:	CSMD2
gene 1041/5050 for chr1:	HSPD1P14
gene 1042/5050 for chr1:	HMGB4
gene 1043/5050 for chr1:	CSMD2-AS1
gene 1044/5050 for chr1:	RNA5SP42
gene 1045/5050 for chr1:	C1orf94
gene 1046/5050 for chr1:	RP4-657M3.2
gene 1047/5050 for chr1:	MIR552
gene 1048/5050 for chr1:	SMIM12
gene 1049/5050 for chr1:	GJB5
gene 1050/5050 for chr1:	GJB4
gene 1051/5050 for chr1:	RP1-34M23.5
gene 1052/5050 for chr1:	GJB3
gene 1053/5050 for chr1:	GJA4
gene 1054/5050 for chr1:	RP5-997D16.2
gene 1055/5050 for chr1:	DLGAP3
gene 1056/5050 for chr1:	RP11-244H3.1
gene 1057/5050 for chr1:	RP11-244H3.4
gene 1058/5050 for chr1:	TMEM35B
gene 1059/5050 for chr1:	ZMYM6
gene 1060/5050 for chr1:	RPL12P45
gene 1061/5050 for chr1:	ZMYM1
gene 1062/5050 for chr1:	EFCAB14P1
gene 1063/5050 for chr1:	SFPQ
gene 1064/5050 for chr1:	ZMYM4
gene 1065/5050 for chr1:	RN7SL503P
gene 1066/5050 for chr1:	SNORA62
gene 1067/5050 for chr1:	RPL5P4
gene 1068/5050 for chr1:	ZMYM4-AS1
gene 1069/5050 for chr1:	KIAA0319L
gene 1070/5050 for chr1:	RP4-728D4.3
gene 1071/5050 for chr1:	NCDN
gene 1072/5050 for chr1:	RP4-728D4.2
gene 1073/5050 for chr1:	TFAP2E
gene 1074/5050 for chr1:	PSMB2
gene 1075/5050 for chr1:	C1orf216
gene 1076/5050 for chr1:	CLSPN
gene 1077/5050 for chr1:	RP11-435D7.3
gene 1078/5050 for chr1:	AGO4
gene 1079/5050 for chr1:	AGO1
gene 1080/5050 for chr1:	RP4-789D17.4
gene 1081/5050 for chr1:	RP4-789D17.5
gene 1082/5050 for chr1:	AGO3
gene 1083/5050 for chr1:	RP4-665N4.8
gene 1084/5050 for chr1:	RP4-665N4.4
gene 1085/5050 for chr1:	TEKT2
gene 1086/5050 for chr1:	ADPRHL2
gene 1087/5050 for chr1:	COL8A2
gene 1088/5050 for chr1:	TRAPPC3
gene 1089/5050 for chr1:	MAP7D1
gene 1090/5050 for chr1:	RN7SL131P
gene 1091/5050 for chr1:	THRAP3
gene 1092/5050 for chr1:	UBE2V2P4
gene 1093/5050 for chr1:	SH3D21
gene 1094/5050 for chr1:	EVA1B
gene 1095/5050 for chr1:	RP11-268J15.5
gene 1096/5050 for chr1:	STK40
gene 1097/5050 for chr1:	LSM10
gene 1098/5050 for chr1:	RNU4-27P
gene 1099/5050 for chr1:	OSCP1
gene 1100/5050 for chr1:	SNORA63
gene 1101/5050 for chr1:	MRPS15
gene 1102/5050 for chr1:	CSF3R
gene 1103/5050 for chr1:	FTLP18
gene 1104/5050 for chr1:	RP4-614N24.1
gene 1105/5050 for chr1:	GRIK3
gene 1106/5050 for chr1:	MIR4255
gene 1107/5050 for chr1:	RNU6-636P
gene 1108/5050 for chr1:	RP5-1180C18.1
gene 1109/5050 for chr1:	RNA5SP43
gene 1110/5050 for chr1:	RPS29P6
gene 1111/5050 for chr1:	LINC01137
gene 1112/5050 for chr1:	ZC3H12A
gene 1113/5050 for chr1:	MEAF6
gene 1114/5050 for chr1:	MIR5581
gene 1115/5050 for chr1:	SNIP1
gene 1116/5050 for chr1:	FTH1P1
gene 1117/5050 for chr1:	RP3-423B22.5
gene 1118/5050 for chr1:	DNALI1
gene 1119/5050 for chr1:	GNL2
gene 1120/5050 for chr1:	RSPO1
gene 1121/5050 for chr1:	C1orf109
gene 1122/5050 for chr1:	CDCA8
gene 1123/5050 for chr1:	EPHA10
gene 1124/5050 for chr1:	ACTN4P2
gene 1125/5050 for chr1:	RP11-109P14.2
gene 1126/5050 for chr1:	MANEAL
gene 1127/5050 for chr1:	RP11-109P14.9
gene 1128/5050 for chr1:	YRDC
gene 1129/5050 for chr1:	C1orf122
gene 1130/5050 for chr1:	MTF1
gene 1131/5050 for chr1:	RP11-109P14.8
gene 1132/5050 for chr1:	INPP5B
gene 1133/5050 for chr1:	RP11-109P14.10
gene 1134/5050 for chr1:	RNU6-584P
gene 1135/5050 for chr1:	SF3A3
gene 1136/5050 for chr1:	RNU6-510P
gene 1137/5050 for chr1:	FHL3
gene 1138/5050 for chr1:	UTP11
gene 1139/5050 for chr1:	POU3F1
gene 1140/5050 for chr1:	RP5-884C9.2
gene 1141/5050 for chr1:	RP5-884C9.3
gene 1142/5050 for chr1:	MIR3659
gene 1143/5050 for chr1:	LINC01343
gene 1144/5050 for chr1:	RP11-329N22.2
gene 1145/5050 for chr1:	RNU6-753P
gene 1146/5050 for chr1:	RP11-329N22.1
gene 1147/5050 for chr1:	RP11-334L9.1
gene 1148/5050 for chr1:	RRAGC
gene 1149/5050 for chr1:	RP5-864K19.7
gene 1150/5050 for chr1:	RP5-864K19.4
gene 1151/5050 for chr1:	MYCBP
gene 1152/5050 for chr1:	RP5-864K19.6
gene 1153/5050 for chr1:	GJA9
gene 1154/5050 for chr1:	RHBDL2
gene 1155/5050 for chr1:	RNU6-605P
gene 1156/5050 for chr1:	EIF1P2
gene 1157/5050 for chr1:	AKIRIN1
gene 1158/5050 for chr1:	NDUFS5
gene 1159/5050 for chr1:	MACF1
gene 1160/5050 for chr1:	RNU6-608P
gene 1161/5050 for chr1:	RNA5SP44
gene 1162/5050 for chr1:	RP11-416A14.1
gene 1163/5050 for chr1:	RP11-420K8.1
gene 1164/5050 for chr1:	HSPE1P8
gene 1165/5050 for chr1:	BMP8A
gene 1166/5050 for chr1:	OXCT2P1
gene 1167/5050 for chr1:	RP11-69E11.4
gene 1168/5050 for chr1:	PPIEL
gene 1169/5050 for chr1:	PABPC4
gene 1170/5050 for chr1:	RP11-69E11.8
gene 1171/5050 for chr1:	SNORA55
gene 1172/5050 for chr1:	HEYL
gene 1173/5050 for chr1:	RP1-144F13.3
gene 1174/5050 for chr1:	NT5C1A
gene 1175/5050 for chr1:	HPCAL4
gene 1176/5050 for chr1:	PPIE
gene 1177/5050 for chr1:	RP1-144F13.4
gene 1178/5050 for chr1:	RNU7-121P
gene 1179/5050 for chr1:	BMP8B
gene 1180/5050 for chr1:	OXCT2
gene 1181/5050 for chr1:	RP1-118J21.25
gene 1182/5050 for chr1:	RP1-118J21.24
gene 1183/5050 for chr1:	TRIT1
gene 1184/5050 for chr1:	MYCL
gene 1185/5050 for chr1:	RP1-118J21.5
gene 1186/5050 for chr1:	MFSD2A
gene 1187/5050 for chr1:	RP3-342P20.2
gene 1188/5050 for chr1:	CAP1
gene 1189/5050 for chr1:	PPT1
gene 1190/5050 for chr1:	RP11-115D7.3
gene 1191/5050 for chr1:	RLF
gene 1192/5050 for chr1:	RNU6-1237P
gene 1193/5050 for chr1:	TMCO2
gene 1194/5050 for chr1:	RP1-39G22.7
gene 1195/5050 for chr1:	ZMPSTE24
gene 1196/5050 for chr1:	RP1-39G22.4
gene 1197/5050 for chr1:	COL9A2
gene 1198/5050 for chr1:	RP1-228H13.1
gene 1199/5050 for chr1:	SMAP2
gene 1200/5050 for chr1:	RP1-228H13.2
gene 1201/5050 for chr1:	ZFP69B
gene 1202/5050 for chr1:	RP1-228H13.5
gene 1203/5050 for chr1:	RP11-656D10.7
gene 1204/5050 for chr1:	ZFP69
gene 1205/5050 for chr1:	RP11-656D10.3
gene 1206/5050 for chr1:	EXO5
gene 1207/5050 for chr1:	RP11-656D10.5
gene 1208/5050 for chr1:	RP11-656D10.6
gene 1209/5050 for chr1:	ZNF684
gene 1210/5050 for chr1:	RP1-63P18.2
gene 1211/5050 for chr1:	GTF2F2P2
gene 1212/5050 for chr1:	RIMS3
gene 1213/5050 for chr1:	RP4-739H11.3
gene 1214/5050 for chr1:	NFYC-AS1
gene 1215/5050 for chr1:	NFYC
gene 1216/5050 for chr1:	MIR30E
gene 1217/5050 for chr1:	MIR30C1
gene 1218/5050 for chr1:	KCNQ4
gene 1219/5050 for chr1:	RN7SL326P
gene 1220/5050 for chr1:	CITED4
gene 1221/5050 for chr1:	RP5-1066H13.4
gene 1222/5050 for chr1:	RP11-348A7.1
gene 1223/5050 for chr1:	UBE2V1P8
gene 1224/5050 for chr1:	CTPS1
gene 1225/5050 for chr1:	SLFNL1-AS1
gene 1226/5050 for chr1:	SLFNL1
gene 1227/5050 for chr1:	SCMH1
gene 1228/5050 for chr1:	RPL23AP17
gene 1229/5050 for chr1:	RP11-399E6.1
gene 1230/5050 for chr1:	RP11-399E6.2
gene 1231/5050 for chr1:	FOXO6
gene 1232/5050 for chr1:	RP11-399E6.4
gene 1233/5050 for chr1:	RNA5SP45
gene 1234/5050 for chr1:	EDN2
gene 1235/5050 for chr1:	HIVEP3
gene 1236/5050 for chr1:	RP11-486B10.3
gene 1237/5050 for chr1:	RP11-486B10.4
gene 1238/5050 for chr1:	HNRNPFP1
gene 1239/5050 for chr1:	RP11-319C21.1
gene 1240/5050 for chr1:	GUCA2B
gene 1241/5050 for chr1:	GUCA2A
gene 1242/5050 for chr1:	FOXJ3
gene 1243/5050 for chr1:	RP11-223A3.1
gene 1244/5050 for chr1:	RIMKLA
gene 1245/5050 for chr1:	RP11-157D18.2
gene 1246/5050 for chr1:	ZMYND12
gene 1247/5050 for chr1:	PPCS
gene 1248/5050 for chr1:	CCDC30
gene 1249/5050 for chr1:	RP11-163G10.2
gene 1250/5050 for chr1:	TMSB4XP1
gene 1251/5050 for chr1:	RNU6-536P
gene 1252/5050 for chr1:	RP11-163G10.4
gene 1253/5050 for chr1:	PPIH
gene 1254/5050 for chr1:	RP5-994D16.3
gene 1255/5050 for chr1:	YBX1
gene 1256/5050 for chr1:	CLDN19
gene 1257/5050 for chr1:	P3H1
gene 1258/5050 for chr1:	C1orf50
gene 1259/5050 for chr1:	RP5-994D16.12
gene 1260/5050 for chr1:	RP5-994D16.9
gene 1261/5050 for chr1:	RP5-994D16.11
gene 1262/5050 for chr1:	SVBP
gene 1263/5050 for chr1:	ERMAP
gene 1264/5050 for chr1:	RP11-342M1.3
gene 1265/5050 for chr1:	ZNF691
gene 1266/5050 for chr1:	RP11-342M1.7
gene 1267/5050 for chr1:	RP11-342M1.6
gene 1268/5050 for chr1:	ATP6V1E1P1
gene 1269/5050 for chr1:	SLC2A1
gene 1270/5050 for chr1:	SLC2A1-AS1
gene 1271/5050 for chr1:	RNU6-880P
gene 1272/5050 for chr1:	RP3-393B19.1
gene 1273/5050 for chr1:	FAM183A
